cluster,article_id,purchase_count,prod_name,product_group_name
0,0706016001,10611,Jade HW Skinny Denim TRS,Garment Lower body
0,0372860001,8267,7p Basic Shaftless,Socks & Tights
0,0706016002,7830,Jade HW Skinny Denim TRS,Garment Lower body
0,0759871002,7211,Tilda tank,Garment Upper body
0,0610776002,6979,Tilly (1),Garment Upper body
0,0464297007,6756,Greta Thong Mynta Low 3p,Underwear
0,0372860002,6578,7p Basic Shaftless,Socks & Tights
0,0399256001,5502,Skinny Ankle R.W Brooklyn,Garment Lower body
0,0156231001,5443,Box 4p Tights,Socks & Tights
0,0720125001,4910,SUPREME RW tights,Garment Lower body
1,0565379001,1970,Moa tank,Garment Upper body
1,0372860001,1947,7p Basic Shaftless,Socks & Tights
1,0351484002,1863,Lazer Razer Brief,Swimwear
1,0568601006,1785,Mariette Blazer,Garment Upper body
1,0706016001,1719,Jade HW Skinny Denim TRS,Garment Lower body
1,0706016002,1682,Jade HW Skinny Denim TRS,Garment Lower body
1,0399256001,1674,Skinny Ankle R.W Brooklyn,Garment Lower body
1,0507910001,1602,Isabella,Garment Upper body
1,0562245001,1594,Luna skinny RW,Garment Lower body
1,0610776002,1546,Tilly (1),Garment Upper body
2,0706016001,2637,Jade HW Skinny Denim TRS,Garment Lower body
2,0706016002,1690,Jade HW Skinny Denim TRS,Garment Lower body
2,0720125001,1667,SUPREME RW tights,Garment Lower body
2,0759871002,1478,Tilda tank,Garment Upper body
2,0568601006,1459,Mariette Blazer,Garment Upper body
2,0372860001,1292,7p Basic Shaftless,Socks & Tights
2,0464297007,1288,Greta Thong Mynta Low 3p,Underwear
2,0610776002,1237,Tilly (1),Garment Upper body
2,0372860002,1128,7p Basic Shaftless,Socks & Tights
2,0759465001,1099,TILDA HIP BELT,Accessories
3,0706016001,15770,Jade HW Skinny Denim TRS,Garment Lower body
3,0706016002,9999,Jade HW Skinny Denim TRS,Garment Lower body
3,0610776002,9108,Tilly (1),Garment Upper body
3,0448509014,7838,Perrie Slim Mom Denim TRS,Garment Lower body
3,0562245001,7749,Luna skinny RW,Garment Lower body
3,0706016003,7260,Jade HW Skinny Denim TRS,Garment Lower body
3,0610776001,7160,Tilly (1),Garment Upper body
3,0372860001,7009,7p Basic Shaftless,Socks & Tights
3,0562245046,6877,Luna skinny RW,Garment Lower body
3,0759871002,6457,Tilda tank,Garment Upper body
4,0706016001,19550,Jade HW Skinny Denim TRS,Garment Lower body
4,0706016002,13842,Jade HW Skinny Denim TRS,Garment Lower body
4,0372860001,13203,7p Basic Shaftless,Socks & Tights
4,0610776002,11329,Tilly (1),Garment Upper body
4,0759871002,10405,Tilda tank,Garment Upper body
4,0464297007,10090,Greta Thong Mynta Low 3p,Underwear
4,0372860002,10072,7p Basic Shaftless,Socks & Tights
4,0156231001,9726,Box 4p Tights,Socks & Tights
4,0399223001,8794,Curvy Jeggings HW Ankle,Garment Lower body
4,0610776001,8528,Tilly (1),Garment Upper body
