article_id,also_bought_id,co_count,cluster
0688537011,0684209013,2102,0
0684209013,0688537011,2102,0
0706016001,0706016002,1610,0
0706016002,0706016001,1610,0
0759871001,0759871002,1280,0
0759871002,0759871001,1280,0
0684209004,0688537004,1268,0
0688537004,0684209004,1268,0
0372860002,0372860001,1211,0
0372860001,0372860002,1211,0
0610776001,0610776002,1179,0
0610776002,0610776001,1179,0
0706016001,0706016003,985,0
0706016003,0706016001,985,0
0706016002,0706016003,817,0
0706016003,0706016002,817,0
0160442007,0160442010,755,0
0160442010,0160442007,755,0
0706016002,0706016006,752,0
0706016006,0706016002,752,0
0706016006,0706016001,749,0
0706016001,0706016006,749,0
0590928001,0688537004,721,0
0688537004,0590928001,721,0
0706016015,0706016001,682,0
0706016001,0706016015,682,0
0706016015,0706016002,642,0
0706016002,0706016015,642,0
0684209004,0599580017,605,0
0599580017,0684209004,605,0
0111586001,0158340001,457,0
0158340001,0111586001,457,0
0706016015,0706016003,411,0
0706016003,0706016015,411,0
0636323001,0399256001,388,0
0399256001,0636323001,388,0
0590928001,0599580017,382,0
0599580017,0590928001,382,0
0706016003,0706016006,374,0
0706016006,0706016003,374,0
0608776002,0372860001,357,0
0372860001,0608776002,357,0
0562245001,0562245018,343,0
0562245018,0562245001,343,0
0688537011,0688537004,341,0
0688537004,0688537011,341,0
0399256005,0399256001,340,0
0399256001,0399256005,340,0
0706016015,0706016006,336,0
0706016006,0706016015,336,0
0562245018,0562245046,326,0
0562245046,0562245018,326,0
0684209013,0688537004,323,0
0688537004,0684209013,323,0
0706016001,0399223001,319,0
0399223001,0706016001,319,0
0684209013,0684209004,306,0
0684209004,0684209013,306,0
0562245001,0562245046,302,0
0562245046,0562245001,302,0
0372860001,0464297007,284,0
0464297007,0372860001,284,0
0751471001,0783346001,276,0
0783346001,0751471001,276,0
0688537011,0684209004,253,0
0684209004,0688537011,253,0
0688537004,0599580017,248,0
0599580017,0688537004,248,0
0562245046,0706016001,240,0
0684209004,0590928001,220,0
0590928001,0684209004,220,0
0608776002,0372860002,206,0
0372860002,0608776002,206,0
0706016002,0759871002,201,0
0759871002,0706016002,201,0
0372860001,0706016001,195,0
0759871002,0706016001,194,0
0719655001,0464297007,191,0
0464297007,0719655001,191,0
0372860002,0464297007,190,0
0464297007,0372860002,190,0
0568601006,0507909001,189,0
0507909001,0568601006,189,0
0636323001,0706016001,173,0
0673396002,0706016001,170,0
0399223001,0636323001,170,0
0562245001,0706016001,170,0
0636323001,0399223001,170,0
0590928001,0351484002,169,0
0351484002,0590928001,169,0
0610776002,0706016001,168,0
0351484002,0688537004,167,0
0399223001,0706016002,167,0
0610776002,0372860001,161,0
0372860001,0610776002,161,0
0399256001,0706016001,160,0
0599580017,0351484002,158,0
0351484002,0599580017,158,0
0156231001,0372860001,157,0
