article_id,purchase_count,rank,product_name,product_type_name,colour_group_name,index_name
924243001,970,1,Ohlsson,Sweater,Beige,Ladieswear
924243002,706,2,Ohlsson,Sweater,Black,Ladieswear
923758001,705,3,Vanessa,Unknown,White,Ladieswear
918522001,683,4,Jackie cable vest,Sweater,Off White,Ladieswear
909370001,619,5,FF PI Haley dress,Dress,Off White,Ladieswear
866731001,599,6,LANA seamless HW tigths,Leggings/Tights,Black,Sport
751471001,584,7,Pluto RW slacks (1),Trousers,Black,Ladieswear
915529003,554,8,Liliana,Sweater,Black,Ladieswear
915529005,542,9,Liliana,Sweater,Beige,Ladieswear
448509014,540,10,Perrie Slim Mom Denim TRS,Trousers,Blue,Divided
762846027,538,11,Lucy blouse,Shirt,Beige,Ladieswear
714790020,520,12,Mom Fit Ultra HW,Trousers,Blue,Divided
865799006,502,13,Pink HW barrel,Trousers,Light Beige,Ladieswear
918292001,488,14,STRONG HW seamless tights,Leggings/Tights,Black,Sport
850917001,467,15,Sadie Shirt,Shirt,White,Ladieswear
919273002,463,16,Lucien lace,Blouse,Black,Ladieswear
896169005,453,17,Hilton,Cardigan,Light Purple,Ladieswear
929275001,443,18,Hudson PU wide leg,Trousers,Black,Ladieswear
894780001,438,19,Peggy HW PU Leggings,Leggings/Tights,Black,Divided
751471043,420,20,Pluto RW slacks (1),Trousers,Black,Ladieswear
673677002,415,21,Henry polo. (1),Sweater,Black,Ladieswear
889550002,404,22,AUSSIE SHEFFIELD LONG PUFFER,Jacket,Black,Divided
934835001,401,23,dad slouchy co lab OL,T-shirt,Black,Divided
935541001,401,24,Aussi Leaf midi dress,Dress,Black,Divided
573085028,400,25,Madison skinny HW,Trousers,Black,Ladieswear
918525001,398,26,Frill cable,Sweater,Beige,Ladieswear
706016001,390,27,Jade HW Skinny Denim TRS,Trousers,Black,Divided
788575004,389,28,Maja cargo Slim HW Denim,Trousers,Dark Blue,Divided
573085042,384,29,Madison skinny HW (1),Trousers,Dark Grey,Ladieswear
863583001,380,30,Morris,Sweater,Off White,Ladieswear
928206001,379,31,Croissant,Shirt,White,Ladieswear
910601003,377,32,Pixie PU,Trousers,Beige,Ladieswear
930380001,368,33,Ruccola,Blouse,Light Orange,Ladieswear
863646001,366,34,Matey,Sweater,Black,Ladieswear
929165002,356,35,Danila,Cardigan,Beige,Ladieswear
715624001,353,36,Becka hoodie,Hoodie,Black,Divided
915526001,353,37,Nika vest,Sweater,Off White,Ladieswear
863595006,352,38,Baraboom throw-on,Cardigan,Black,Ladieswear
898692006,349,39,Jasba check,Blazer,Black,Ladieswear
852584001,346,40,SUPREME RW tights,Unknown,Black,Sport
909059002,339,41,Alina HW slim dnm Trs,Trousers,Blue,Divided
923340001,334,42,Lion top,Top,Black,Ladieswear
762846006,331,43,Lucy blouse,Shirt,Black,Ladieswear
791587001,329,44,Speedy tee (C),Top,Black,Sport
788575002,327,45,Maja cargo Slim HW Denim,Trousers,Dark Grey,Divided
881942001,326,46,Fox,Blouse,Black,Ladieswear
706016003,321,47,Jade HW Skinny Denim TRS,Trousers,Dark Blue,Divided
906352001,320,48,Lava,Sweater,Off White,Ladieswear
873279005,317,49,Osman,Sweater,Green,Ladieswear
827968001,312,50,Antonia heavy t-shirt,T-shirt,White,Ladieswear
